iter	Passed	Remaining
0	1	319
1	2	294
2	4	298
3	6	300
4	7	299
5	8	288
6	10	280
7	12	300
8	13	293
9	15	297
10	17	295
11	18	289
12	19	287
13	21	283
14	22	278
15	23	274
16	25	271
17	27	275
18	28	271
19	29	268
20	31	267
21	32	265
22	34	263
23	35	261
24	37	260
25	38	258
26	40	262
27	43	266
28	45	268
29	46	265
30	48	262
31	49	260
32	50	257
33	52	258
34	55	259
35	55	253
36	58	255
37	60	256
38	61	254
39	62	251
40	64	252
41	66	249
42	67	247
43	69	245
44	71	246
45	73	246
46	76	248
47	79	252
48	81	250
49	84	253
50	87	254
51	90	256
52	92	256
53	94	255
54	96	255
55	98	254
56	100	251
57	103	253
58	105	251
59	106	249
60	108	246
61	109	244
62	111	241
63	112	239
64	114	236
65	116	236
66	117	233
67	118	230
68	120	228
69	123	228
70	124	226
71	126	224
72	127	221
73	128	219
74	131	218
75	132	216
76	133	213
77	135	211
78	136	209
79	138	207
80	139	205
81	141	203
82	142	201
83	144	200
84	147	199
85	148	197
86	150	195
87	151	193
88	154	192
89	155	190
90	157	188
91	158	186
92	160	184
93	161	181
94	162	179
95	164	178
96	166	176
97	168	175
98	169	173
99	171	171
100	172	169
101	174	167
102	175	165
103	179	165
104	180	163
105	183	162
106	185	161
107	188	160
108	189	158
109	191	156
110	193	154
111	194	152
112	196	151
113	198	149
114	200	147
115	204	148
116	205	146
117	207	144
118	208	141
119	211	140
120	212	138
121	213	136
122	216	135
123	218	133
124	219	131
125	220	129
126	222	127
127	223	125
128	225	123
129	227	122
130	228	120
131	230	118
132	231	116
133	233	114
134	234	112
135	235	111
136	237	109
137	238	107
138	241	106
139	244	104
140	246	102
141	248	101
142	249	99
143	252	98
144	254	96
145	257	95
146	259	93
147	260	91
148	262	89
149	265	88
150	267	86
151	269	85
152	271	83
153	273	81
154	274	79
155	276	77
156	280	76
157	282	75
158	283	73
159	285	71
160	286	69
161	292	68
162	293	66
163	295	64
164	296	62
165	297	61
166	299	59
167	302	57
168	303	55
169	305	53
170	306	52
171	308	50
172	309	48
173	311	46
174	312	44
175	314	42
176	315	41
177	317	39
178	318	37
179	320	35
180	321	33
181	323	31
182	324	30
183	326	28
184	327	26
185	329	24
186	330	22
187	332	21
188	334	19
189	336	17
190	337	15
191	339	14
192	340	12
193	342	10
194	343	8
195	345	7
196	346	5
197	347	3
198	349	1
199	351	0
